Date;HH;MM;SS;EOG Left[uV];EEG C3-A1[uV];EEG O1-A1[uV];EEG C4-A1[uV];EEG O2-A1[uV]
2016/03/08;1;42;49,32;1,46484374999998;-27,734375;-16,11328125;-12,890625;-17,1875
2016/03/08;1;42;49,325;-0,195312500000017;-23,53515625;-14,84375;-13,4765625;-16,11328125
2016/03/08;1;42;49,33;-2,83203125000002;-22,75390625;-13,8671875;-16,015625;-17,578125
2016/03/08;1;42;49,335;-2,24609375000002;-16,50390625;-9,47265625000002;-14,16015625;-13,37890625
2016/03/08;1;42;49,34;-4,68750000000002;-10,44921875;-7,61718750000002;-14,0625;-15,4296875
2016/03/08;1;42;49,345;-5,85937500000002;-0,976562500000017;-4,10156250000002;-10,64453125;-10,64453125
2016/03/08;1;42;49,35;-5,07812500000002;5,95703124999998;2,14843749999998;-6,73828125000002;-6,34765625000002
2016/03/08;1;42;49,355;-7,51953125000002;4,19921874999998;4,88281249999998;-7,61718750000002;0,390624999999983
2016/03/08;1;42;49,36;-8,30078125000002;-0,292968750000017;8,39843749999998;-9,86328125000002;3,90624999999998
2016/03/08;1;42;49,365;-7,12890625000002;-7,91015625000002;7,12890624999998;-12,6953125;6,54296874999998
2016/03/08;1;42;49,37;-7,03125000000002;-15,0390625;1,56249999999998;-15,4296875;4,10156249999998
2016/03/08;1;42;49,375;-5,07812500000002;-17,7734375;-2,14843750000002;-16,40625;-0,976562500000017
2016/03/08;1;42;49,38;-3,41796875000002;-17,96875;-6,54296875000002;-14,35546875;-4,39453125000002
2016/03/08;1;42;49,385;-3,90625000000002;-22,94921875;-9,96093750000002;-15,0390625;-7,03125000000002
2016/03/08;1;42;49,39;-3,51562500000002;-23,73046875;-10,64453125;-16,9921875;-8,00781250000002
2016/03/08;1;42;49,395;-4,98046875000002;-22,65625;-12,98828125;-20,1171875;-9,66796875000002
2016/03/08;1;42;49,4;-6,44531250000002;-17,96875;-12,59765625;-17,87109375;-7,81250000000002
2016/03/08;1;42;49,405;-4,98046875000002;-11,62109375;-10,44921875;-14,74609375;-4,19921875000002
2016/03/08;1;42;49,41;-3,71093750000002;-0,195312500000017;-7,42187500000002;-10,25390625;-2,05078125000002
2016/03/08;1;42;49,415;0,488281249999983;14,2578125;-2,73437500000002;-0,683593750000017;3,51562499999998
2016/03/08;1;42;49,42;4,68749999999998;21,97265625;-0,976562500000017;5,76171874999998;5,17578124999998
2016/03/08;1;42;49,425;3,41796874999998;26,171875;-1,07421875000002;7,71484374999998;4,98046874999998
2016/03/08;1;42;49,43;1,36718749999998;22,16796875;1,46484374999998;9,76562499999998;8,98437499999998
2016/03/08;1;42;49,435;-0,488281250000017;14,84375;3,12499999999998;8,39843749999998;8,00781249999998
2016/03/08;1;42;49,44;-1,07421875000002;7,42187499999998;0,0976562499999833;3,90624999999998;3,90624999999998
2016/03/08;1;42;49,445;-0,585937500000017;8,20312499999998;-1,07421875000002;4,88281249999998;0,976562499999983
2016/03/08;1;42;49,45;-0,488281250000017;3,12499999999998;-8,39843750000002;1,17187499999998;-4,68750000000002
2016/03/08;1;42;49,455;-1,17187500000002;-0,195312500000017;-9,96093750000002;2,05078124999998;-7,91015625000002
2016/03/08;1;42;49,46;-1,36718750000002;-3,41796875000002;-12,3046875;2,34374999999998;-10,25390625
2016/03/08;1;42;49,465;-1,07421875000002;-8,59375000000002;-10,83984375;-0,292968750000017;-12,20703125
2016/03/08;1;42;49,47;-0,976562500000017;-10,05859375;-11,81640625;-0,390625000000017;-16,69921875
2016/03/08;1;42;49,475;-1,46484375000002;-2,05078125000002;-9,66796875000002;2,24609374999998;-15,234375
2016/03/08;1;42;49,48;-2,73437500000002;8,98437499999998;-5,76171875000002;4,58984374999998;-10,05859375
2016/03/08;1;42;49,485;-4,10156250000002;23,73046875;0,195312499999983;11,1328125;-3,41796875000002
2016/03/08;1;42;49,49;-5,46875000000002;33,203125;7,71484374999998;14,16015625;4,00390624999998
2016/03/08;1;42;49,495;-6,54296875000002;35,7421875;10,64453125;15,625;11,1328125
2016/03/08;1;42;49,5;-8,39843750000002;30,46875;12,98828125;11,81640625;14,16015625
2016/03/08;1;42;49,505;-7,42187500000002;20,99609375;13,0859375;10,3515625;16,9921875
2016/03/08;1;42;49,51;-4,19921875000002;11,5234375;10,64453125;7,91015624999998;17,28515625
2016/03/08;1;42;49,515;-4,19921875000002;1,85546874999998;7,81249999999998;1,85546874999998;13,4765625
2016/03/08;1;42;49,52;-3,32031250000002;-3,71093750000002;5,27343749999998;-1,07421875000002;11,03515625
2016/03/08;1;42;49,525;-0,292968750000017;-8,88671875000002;1,56249999999998;-3,41796875000002;3,61328124999998
2016/03/08;1;42;49,53;0,195312499999983;-10,05859375;-1,66533453693773E-014;-7,03125000000002;0,878906249999983
2016/03/08;1;42;49,535;-0,585937500000017;-10,9375;2,53906249999998;-9,08203125000002;-4,58984375000002
2016/03/08;1;42;49,54;-1,46484375000002;-11,5234375;2,63671874999998;-9,76562500000002;-4,68750000000002
2016/03/08;1;42;49,545;-1,46484375000002;-9,17968750000002;5,07812499999998;-6,44531250000002;-5,27343750000002
2016/03/08;1;42;49,55;-1,95312500000002;-1,56250000000002;8,78906249999998;-2,34375000000002;-3,32031250000002
2016/03/08;1;42;49,555;-0,683593750000017;9,86328124999998;9,66796874999998;4,49218749999998;1,26953124999998
2016/03/08;1;42;49,56;0,488281249999983;25,09765625;12,98828125;13,37890625;8,69140624999998
2016/03/08;1;42;49,565;0,683593749999983;32,8125;16,89453125;20,01953125;16,89453125
2016/03/08;1;42;49,57;0,195312499999983;33,7890625;19,62890625;22,55859375;22,0703125
2016/03/08;1;42;49,575;0,878906249999983;24,70703125;19,3359375;22,4609375;24,8046875
2016/03/08;1;42;49,58;0,390624999999983;11,71875;16,9921875;14,6484375;22,0703125
2016/03/08;1;42;49,585;-0,195312500000017;3,90624999999998;14,35546875;9,57031249999998;20,703125
2016/03/08;1;42;49,59;0,781249999999983;-0,781250000000017;10,7421875;6,05468749999998;19,43359375
2016/03/08;1;42;49,595;0,488281249999983;-4,29687500000002;4,10156249999998;0,585937499999983;14,6484375
2016/03/08;1;42;49,6;1,75781249999998;-3,90625000000002;-0,292968750000017;-0,585937500000017;9,96093749999998
2016/03/08;1;42;49,605;2,73437499999998;-4,39453125000002;-5,56640625000002;-1,75781250000002;4,98046874999998
2016/03/08;1;42;49,61;2,53906249999998;-4,10156250000002;-9,27734375000002;-4,10156250000002;-0,976562500000017
2016/03/08;1;42;49,615;3,32031249999998;3,61328124999998;-5,17578125000002;0,781249999999983;2,63671874999998
2016/03/08;1;42;49,62;4,39453124999998;14,16015625;-0,292968750000017;7,71484374999998;8,69140624999998
2016/03/08;1;42;49,625;3,12499999999998;23,6328125;3,12499999999998;11,9140625;15,8203125
2016/03/08;1;42;49,63;1,26953124999998;31,54296875;5,76171874999998;16,30859375;23,828125
2016/03/08;1;42;49,635;1,95312499999998;37,40234375;10,546875;21,2890625;33,3984375
2016/03/08;1;42;49,64;0,195312499999983;34,86328125;15,33203125;22,75390625;41,40625
2016/03/08;1;42;49,645;-1,66533453693773E-014;30,17578125;19,62890625;24,4140625;44,62890625
2016/03/08;1;42;49,65;0,976562499999983;25;21,09375;24,12109375;44,04296875
2016/03/08;1;42;49,655;1,17187499999998;19,82421875;20,3125;21,97265625;39,94140625
2016/03/08;1;42;49,66;1,75781249999998;16,89453125;18,26171875;20,1171875;33,7890625
2016/03/08;1;42;49,665;2,83203124999998;14,55078125;15,33203125;15,0390625;27,34375
2016/03/08;1;42;49,67;4,00390624999998;13,96484375;10,64453125;13,4765625;22,0703125
2016/03/08;1;42;49,675;3,41796874999998;13,37890625;3,71093749999998;15,234375;15,8203125
2016/03/08;1;42;49,68;4,58984374999998;15,91796875;0,683593749999983;19,921875;14,0625
2016/03/08;1;42;49,685;3,22265624999998;23,33984375;0,292968749999983;24,12109375;13,8671875
2016/03/08;1;42;49,69;1,66015624999998;32,32421875;4,00390624999998;30,56640625;18,359375
2016/03/08;1;42;49,695;-0,292968750000017;38,0859375;5,95703124999998;34,66796875;24,21875
2016/03/08;1;42;49,7;-1,95312500000002;43,06640625;5,95703124999998;38,28125;29,98046875
2016/03/08;1;42;49,705;-2,92968750000002;44,140625;4,49218749999998;41,11328125;33,7890625
2016/03/08;1;42;49,71;-1,46484375000002;40,33203125;6,44531249999998;43,1640625;39,16015625
2016/03/08;1;42;49,715;-2,24609375000002;29,58984375;8,00781249999998;34,47265625;39,2578125
2016/03/08;1;42;49,72;-1,56250000000002;21,97265625;9,96093749999998;24,90234375;37,890625
2016/03/08;1;42;49,725;-0,683593750000017;16,89453125;9,37499999999998;19,43359375;35,7421875
2016/03/08;1;42;49,73;-2,73437500000002;10,3515625;5,66406249999998;11,5234375;29,19921875
2016/03/08;1;42;49,735;-0,488281250000017;7,03124999999998;5,66406249999998;8,59374999999998;21,09375
2016/03/08;1;42;49,74;0,781249999999983;0,195312499999983;0,878906249999983;3,80859374999998;12,01171875
2016/03/08;1;42;49,745;1,07421874999998;-3,51562500000002;-3,41796875000002;-0,683593750000017;6,64062499999998
2016/03/08;1;42;49,75;3,22265624999998;-2,34375000000002;-4,19921875000002;-3,51562500000002;5,66406249999998
2016/03/08;1;42;49,755;3,90624999999998;3,80859374999998;-3,61328125000002;-2,73437500000002;7,03124999999998
2016/03/08;1;42;49,76;3,12499999999998;8,78906249999998;0,878906249999983;-1,26953125000002;11,328125
2016/03/08;1;42;49,765;3,61328124999998;16,30859375;6,83593749999998;0,683593749999983;15,0390625
2016/03/08;1;42;49,77;2,63671874999998;20,60546875;8,88671874999998;3,51562499999998;19,921875
2016/03/08;1;42;49,775;2,92968749999998;26,7578125;12,5;9,86328124999998;26,953125
2016/03/08;1;42;49,78;3,61328124999998;26,171875;13,76953125;13,671875;30,46875
2016/03/08;1;42;49,785;2,24609374999998;21,77734375;14,2578125;16,30859375;34,47265625
2016/03/08;1;42;49,79;4,10156249999998;16,11328125;14,6484375;16,9921875;36,03515625
2016/03/08;1;42;49,795;5,95703124999998;7,71484374999998;8,59374999999998;9,57031249999998;29,4921875
2016/03/08;1;42;49,8;8,10546874999998;3,41796874999998;4,58984374999998;4,88281249999998;23,14453125
2016/03/08;1;42;49,805;9,76562499999998;1,66015624999998;-3,51562500000002;0,390624999999983;13,18359375
2016/03/08;1;42;49,81;10,546875;-1,66533453693773E-014;-10,64453125;-2,92968750000002;2,83203124999998
2016/03/08;1;42;49,815;10,9375;1,56249999999998;-14,2578125;-2,53906250000002;-3,61328125000002
2016/03/08;1;42;49,82;12,20703125;5,46874999999998;-15,4296875;-0,488281250000017;-7,22656250000002
2016/03/08;1;42;49,825;13,671875;7,03124999999998;-13,4765625;-0,585937500000017;-6,34765625000002
2016/03/08;1;42;49,83;15,13671875;12,40234375;-9,47265625000002;3,51562499999998;-2,92968750000002
2016/03/08;1;42;49,835;14,6484375;20,41015625;-6,05468750000002;9,17968749999998;1,66015624999998
2016/03/08;1;42;49,84;12,3046875;28,22265625;-2,24609375000002;15,33203125;9,76562499999998
2016/03/08;1;42;49,845;12,6953125;32,71484375;2,34374999999998;20,01953125;17,1875
2016/03/08;1;42;49,85;8,39843749999998;32,51953125;3,22265624999998;20,60546875;22,16796875
2016/03/08;1;42;49,855;8,59374999999998;30,17578125;7,03124999999998;20,99609375;28,3203125
2016/03/08;1;42;49,86;8,88671874999998;27,05078125;6,93359374999998;18,75;32,6171875
2016/03/08;1;42;49,865;8,88671874999998;27,24609375;6,93359374999998;19,23828125;33,49609375
2016/03/08;1;42;49,87;12,40234375;25,29296875;2,14843749999998;18,26171875;31,73828125
2016/03/08;1;42;49,875;13,57421875;21,6796875;-4,68750000000002;15,72265625;25,78125
2016/03/08;1;42;49,88;13,28125;18,1640625;-13,4765625;12,20703125;15,625
2016/03/08;1;42;49,885;14,6484375;17,3828125;-17,3828125;12,40234375;9,08203124999998
2016/03/08;1;42;49,89;13,671875;18,9453125;-23,73046875;13,8671875;1,26953124999998
2016/03/08;1;42;49,895;15,625;22,65625;-26,66015625;16,796875;-1,17187500000002
2016/03/08;1;42;49,9;18,5546875;24,0234375;-30,95703125;18,359375;-2,44140625000002
2016/03/08;1;42;49,905;19,53125;26,953125;-33,984375;19,23828125;-5,27343750000002
2016/03/08;1;42;49,91;19,82421875;33,0078125;-29,19921875;20,5078125;-0,878906250000017
2016/03/08;1;42;49,915;19,3359375;39,0625;-25,78125;27,734375;7,71484374999998
2016/03/08;1;42;49,92;18,45703125;42,3828125;-24,12109375;34,1796875;14,74609375
2016/03/08;1;42;49,925;17,28515625;39,35546875;-20,21484375;36,42578125;22,265625
2016/03/08;1;42;49,93;13,671875;29,39453125;-20,01953125;29,8828125;22,65625
2016/03/08;1;42;49,935;13,96484375;21,19140625;-17,3828125;22,94921875;21,77734375
2016/03/08;1;42;49,94;12,20703125;10,25390625;-20,703125;8,98437499999998;13,8671875
2016/03/08;1;42;49,945;11,328125;1,26953124999998;-22,8515625;-1,66015625000002;6,05468749999998
2016/03/08;1;42;49,95;14,55078125;-1,26953125000002;-25,1953125;-4,49218750000002;1,56249999999998
2016/03/08;1;42;49,955;14,35546875;-3,80859375000002;-28,22265625;-8,49609375000002;-4,58984375000002
2016/03/08;1;42;49,96;14,16015625;-4,29687500000002;-28,3203125;-12,40234375;-10,15625
2016/03/08;1;42;49,965;17,3828125;3,71093749999998;-24,90234375;-8,98437500000002;-7,71484375000002
2016/03/08;1;42;49,97;14,94140625;6,15234374999998;-24,51171875;-11,328125;-8,98437500000002
2016/03/08;1;42;49,975;15,625;13,0859375;-18,06640625;-6,34765625000002;-3,32031250000002
2016/03/08;1;42;49,98;15,0390625;19,140625;-11,71875;0,0976562499999833;5,46874999999998
2016/03/08;1;42;49,985;13,28125;23,92578125;-7,91015625000002;3,90624999999998;13,76953125
2016/03/08;1;42;49,99;13,37890625;28,90625;-1,75781250000002;9,86328124999998;24,70703125
2016/03/08;1;42;49,995;13,18359375;29,8828125;1,56249999999998;12,79296875;32,2265625
2016/03/08;1;42;50;11,5234375;28,61328125;1,07421874999998;12,01171875;35,3515625
